input,target
She forgot her umbrella it started to rain.,"She forgot her umbrella, and then it started to rain."
He could have bought the house if he has enough money.,He could have bought the house if he had enough money.
I have a meeting with a principal of a school.,I have a meeting with the principal of the school.
You wanna grab some dinner later?,Do you want to have dinner later?
The bicycle is more cheaper than the car.,The bicycle is cheaper than the car.
"The meeting was schedule for 3pm, but it was postponed.","The meeting was scheduled for 3 pm, but it was postponed."
I wants to see the new movie.,I want to see the new movie.
The book shelf was full of old dusty books.,The bookshelf was full of old dusty books.
The cat jumped off the table.,The cat jumped from the table.
"The project is challenging, but it is worth the effort.",The project is challenging and worth the effort.
The computer software program is quite complex.,The computer software is quite complex.
She was afraid of hights and couldn't climb the ladder.,She was afraid of heights and couldn't climb the ladder.
He failed the test he didn't study enough.,He failed the test because he didn't study enough.
She's book is on the table.,Her book is on the table.
The teacher asked the students to be quite during the test.,The teacher asked the students to be quiet during the test.
The gardener is plant flowers in the garden.,The gardener is planting flowers in the garden.
"A bird in the hand is worth two in the bush, but don't count your chickens before they hatch.",A bird in the hand is worth two in the bush.
The child is playing with a sand at a beach.,The child is playing with sand at the beach.
He is read a book before going to bed.,He reads a book before going to bed.
The family of languages share common features.,The family of languages shares common features.
Many of the books on this shelf are written by famous authors.,Many books on this shelf are written by famous authors.
"I'll bring snacks, you can bring drinks, to the party.",I'll bring snacks; you can bring drinks to the party.
She kept her purse beside the table.,She kept her purse next to the table.
The sun shines to bright.,The sun shines too bright.
The doctor adviced her to exercise regularly and eat healthy.,The doctor advised her to exercise regularly and eat healthily.
"I've been feeling v tired lately, IDK why.","I've been feeling very tired lately, I don't know why."
Does he has a new car?,Does he have a new car?
"The students took their exams, and they results were announced the following week.","The students took their exams, and their results were announced the following week."
The email was forwarded by Jim to his colleagues.,Jim forwarded the email to his colleagues.
The car was driven by Sarah to the supermarket.,Sarah drove the car to the supermarket.
The guests were impressed by the luxurious desert.,The guests were impressed by the luxurious dessert.
She always forgets taking her medication.,She always forgets to take her medication.
He could of been a great leader.,He could have been a great leader.
The restaurant is known for they're pizza.,The restaurant is known for their pizza.
The store clerk was counting the money in the cash register.,The store clerk was counting the money in the cash register.
"The car is fast, but it is also fuel-efficient.",The car is fast and fuel-efficient.
"The workshop will help participants develop leadership skills, build confidence, and to network.","The workshop will help participants develop leadership skills, build confidence, and network."
The elephant is the largest mamal on Earth.,The elephant is the largest mammal on Earth.
He was not fazed by the criticism.,He was not fazed by the criticism.
The dog chased it's tail for hours.,The dog chased its tail for hours.
He was walking in the forest when he heard a strange noice.,He was walking in the forest when he heard a strange noise.
She has an appointment at the dentist on next week.,She has an appointment at the dentist next week.
The number of people attending the event has increased.,The number of people attending the event have increased.
"This restaurant is less expensive than that one, but more than the other.","This restaurant is less expensive than that one, but more expensive than the other."
"Their going too the store, want anything?",They're going to the store; want anything?
The couple is celebrating a anniversary with a special dinner.,The couple is celebrating their anniversary with a special dinner.
The journalist was criticized for misrepresent the facts.,The journalist was criticized for misrepresenting the facts.
I can't remember no passwords.,I can't remember any passwords.
"The game, intense, fans cheering loudly.","The game was intense, with fans cheering loudly."
There isn't no milk in the fridge.,There is no milk in the fridge.
I'm going to the gym to excersise for an hour.,I'm going to the gym to exercise for an hour.
The collection of short stories have a common theme.,The collection of short stories has a common theme.
"If we went to bed earlier, we would have felt more rested.","If we had gone to bed earlier, we would have felt more rested."
She have completed her homework.,She has completed her homework.
The laptop battery died he couldn't finish his work.,"The laptop battery died, and he couldn't finish his work."
She wanted to privately speak with her supervisor.,She wanted to speak privately with her supervisor.
The computer is slow I need a new one.,The computer is slow; I need a new one.
The dog jumped in the fence.,The dog jumped over the fence.
He didn't write no emails today.,He didn't write any emails today.
The author signed copies of their book and handed them to they're fans.,The author signed copies of his or her book and handed them to his or her fans.
The hotel provides towels and bedsheet to its guests.,The hotel provides towels and bed sheets to its guests.
The family is watching a movie together at a home.,The family is watching a movie together at home.
She was carrying a bag on her shoulder.,She was carrying a bag over her shoulder.
"i live in new delhi, the capital of india.","I live in New Delhi, the capital of India."
Actions louder than words.,Actions speak louder than words.
He wants to travelling to Europe next summer.,He wants to travel to Europe next summer.
The couple is taking a vacation in a tropical island.,The couple is taking a vacation on a tropical island.
The set of instructions was difficult to follow.,The set of instructions were difficult to follow.
The cat looked at itself in the mirror.,The cat looked at itself in the mirror.
The chef is preparing a delicious meal in a kitchen.,The chef is preparing a delicious meal in the kitchen.
This wine is most more expensive than the other one.,This wine is more expensive than the other one.
The dog sleeps on the floor by its owner bed.,The dog sleeps on the floor by its owner's bed.
She said that she was going to the store but she never came back.,"She said that she was going to the store, but she never came back."
The pizza was so delicious and very tasty.,The pizza was delicious.
The cop gave him a ticket for speeding.,The police officer gave him a ticket for speeding.
"If he will eat healthier, he would have lost weight.","If he ate healthier, he would lose weight."
